SKU,Current_Item,Current_Base_Item,sku_Family,Current_Item_Overall_Status,Current_Item_Specific_Status,Current_Item_Lead_Style,Current_Item_Product_Type ,Current_Item_sku_Pricing,Current_Item_Discounted_Pricing, Current_Item_Inventory , Current_Item_Reported_Inventory , Current_Item_Min_Order_Qty ,Current_Item_Packaging_Type, Current_Item_sku_packaging_qty ,Current_Item_Shrink_wrapped_status,Current_Item_Version_Number,Current_Item_Version_Description,Frequency_Hertz,Starting_Method,Lamp_Connection , Ballast_Factor ,Maximum_Possible_Lamp_Combinations, Number_ of_Lamps ,Maximum_Voltage_Combinations, Voltage_120V , Voltage_240V , Voltage_277V, Voltage_347V,Power_factor,Power_factor_value,Dimming_Status, Length_inches , Width_inches , Height_inches , Weight_in_lbs , Lamps ,Successor_Item,Successor_Base_Item,Successor_Item_sku_Family,Substitute_Item,Substitute_Base_Item,Substitute_Item_Product_Type,Substitute_Item_Overall_Status,Substitute_Item_Specific_Status,Substitutue item sku Family,Substitute_item__Item_Lead_Style, Philips_Advance , GE ,Osram,Univeral,Fulham,Keystone,Howard,Sola,Hatch,Halco,Radionic,Epsen,Interglobal,Sunpark,Accupro,Valmont,TCP
1M10571,0683PB1 /B,0683PB1,M10571,Discontinued,Limited,Leaded,Magnetic,$927.50 ,,5,5,,1,70,N,,,60,Preheat,Series, DK ,1,1,120,Y,N,N,N,Normal,,N,2.13,1.13,1.19,0.28,9TT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M10571,0683PB1 /B,0683PB1,M10571,Discontinued,Limited,Leaded,Magnetic,$169.95 ,,5,5,,5,10,N,,,60,Preheat,Series, DK ,1,1,120,Y,N,N,N,Normal,,N,2.13,1.13,1.19,0.28,9TT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10571,0683PB1 /B,0683PB1,M10571,Discontinued,Limited,Leaded,Magnetic,$20.95 ,,30,30,,3,1,Y,,,60,Preheat,Series, DK ,1,1,120,Y,N,N,N,Normal,,N,2.13,1.13,1.19,0.28,9TT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10574,13035WT       /A,13035WT       ,M10574,Discontinued,Limited,Leaded,Magnetic,$43.95 ,,6,6,,3,1,Y,2,Leads both ends,50,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10575,14025P        /B,14025P        ,M10575,Discontinued,Limited,Leaded,Magnetic,$49.95 ,,6,6,,3,1,Y,1,Leads one end,50,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10576,HP1827PB1     /A,HP1827PB1     ,M10576,Discontinued,Limited,Leaded,Magnetic,$38.95 ,,2,2,,3,1,Y,3,Bottom leads (center),60,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10577,HP68PB1LH     /A,HP68PB1LH     ,M10577,Discontinued,Limited,Leaded,Magnetic,$33.95 ,,33,33,,3,1,Y,2,Leads both ends,60,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10578,HP79347P      /B,HP79347P      ,M10578,Discontinued,Limited,Leaded,Magnetic,$98.95 ,,14,14,,3,1,Y,2,Leads both ends,60,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10579,HPS1P         /C,HPS1P         ,M10579,Discontinued,Limited,Leaded,Magnetic,$39.95 ,,39,39,,3,1,Y,8,Bottom leads (on center off middle),60,,,,,,,,,,,High,,,,,,,,,,,HPS1P BM,HPS1P,Magnetic,Ongoing,Active,P10103,Leaded, H-1B13-TP-W,,,4112P,,113SHPTP,,,,,,,,,,,
3M10580,HPS1P         /J,HPS1P         ,M10580,Discontinued,Limited,Leaded,Magnetic,$39.95 ,,10,10,,3,1,Y,2,Leads both ends,60,,,,,,,,,,,High,,,,,,,,,,,HPS1P BM,HPS1P,Magnetic,Ongoing,Active,P10103,Leaded,,,,,,,,,,,,,,,,,
3M10581,HPS1P         /X,HPS1P         ,M10581,Discontinued,Limited,Leaded,Magnetic,$39.95 ,,10,10,,3,1,Y,1,Leads one end,60,,,,,,,,,,,High,,,,,,,,,,,HPS1P BM,HPS1P,Magnetic,Ongoing,Active,P10103,Leaded,,,,,,,,,,,,,,,,,
3M10582,HPS1PB1LH     /A,HPS1PB1LH     ,M10582,Discontinued,Limited,Leaded,Magnetic,$40.95 ,,14,14,,3,1,Y,2,Leads both ends,60,,,,,,,,,,,High,,,,,,,,,,,HPS1P BM,HPS1P,Magnetic,Ongoing,Active,P10103,Leaded,,,,,,,,,,,,,,,,,
3M10583,L15A          /G,L15A          ,M10583,Discontinued,Limited,Leaded,Magnetic,$24.95 ,,1,1,,3,1,Y,2,Leads both ends,60,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M10585,L4810056      /A,L4810056      ,M10585,Discontinued,Limited,Leaded,Magnetic,$179.95 ,,4,4,,5,10,N,2,Leads both ends,50-60,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10585,L4810056      /A,L4810056      ,M10585,Discontinued,Limited,Leaded,Magnetic,$26.95 ,,25,25,,3,1,Y,2,Leads both ends,50-60,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M10586,L4835 /B,L4835,M10586,Discontinued,Limited,Leaded,Magnetic,$289.95 ,, -   , -   ,,5,10,N,2,Leads both ends,,Preheat,DK, DK ,1,1,230,N,Y,N,N,Normal,,N,5.25,1.16,0.91,0.575,F6T5 V2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10586,L4835 /B,L4835,M10586,Discontinued,Limited,Leaded,Magnetic,$33.95 ,,45,45,,3,1,Y,2,Leads both ends,,Preheat,DK, DK ,1,1,230,N,Y,N,N,Normal,,N,5.25,1.16,0.91,0.575,F6T5 V2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1M10586,L4835         /B,L4835         ,M10586,Discontinued,Limited,Leaded,Magnetic,$935.50 ,,7,7,,1,55,N,2,Leads both ends,50,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M10587,L4835 /C,L4835,M10587,Discontinued,Limited,Leaded,Magnetic,$289.95 ,,4,4,,5,10,N,2,Leads both ends,,Preheat,DK, DK ,1,1,230,N,Y,N,N,Normal,,N,5.25,1.16,0.91,0.583,F4/8T5 V2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10587,L4835 /C,L4835,M10587,Discontinued,Limited,Leaded,Magnetic,$33.95 ,, -   , -   ,,3,1,Y,2,Leads both ends,,Preheat,DK, DK ,1,1,230,N,Y,N,N,Normal,,N,5.25,1.16,0.91,0.583,F4/8T5 V2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1M10587,L4835         /C,L4835         ,M10587,Discontinued,Unavailable,Leaded,Magnetic,$0.00 ,, -   , -   ,,1,66,N,2,Leads both ends,50,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10588,L8            /A,L8            ,M10588,Discontinued,Limited,Leaded,Magnetic,$29.95 ,,7,7,,3,1,Y,2,Leads both ends,60,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10590,MS0204S /B,MS0204S,M10590,Discontinued,Limited,Leaded,Magnetic,$26.95 ,,73,73,,3,1,Y,,,60,Preheat,DK, DK ,1,1,120,Y,N,N,N,Normal,,N,3.25,1.5,1.94,0.4,F8T5,MS0204S       BM,MS0204S,P10146,,,,,,,,,,,,,,,,,,,,,,,,
MSHP15        /A,MSHP15        /A,MSHP15,M10591,Discontinued,Unavailable,Leaded,Magnetic,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSHP15        AM,MSHP15,P10147,,,,,,,,,,,,,,,,,,,,,,,,
5M10592,R12025P       /A,R12025P       ,M10592,Discontinued,Limited,Leaded,Magnetic,$499.50 ,,9,9,,5,10,N,2,Leads both ends,50,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10592,R12025P       /A,R12025P       ,M10592,Discontinued,Limited,Leaded,Magnetic,$73.95 ,,3,3,,3,1,Y,2,Leads both ends,50,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10593,R1205LA       /A,R1205LA       ,M10593,Discontinued,Limited,Leaded,Magnetic,$57.95 ,,6,6,,3,1,Y,2,Leads both ends,50,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10594,RS025PLMH     /B,RS025PLMH     ,M10594,Discontinued,Limited,Leaded,Magnetic,$91.95 ,,6,6,,3,1,Y,2,Leads both ends,60,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10595,RSD33PUV/A,RSD33PUV,M10595,Discontinued,Limited,Leaded,Magnetic,$80.95 ,,4,4,,3,1,Y,,,,Rapid,DK, DK ,1,1,120,Y,N,N,N,High,,N,9.44,2.38,1.5,3.3,30.5T5 V2,RSD33PUV AM,RSD33PUV,P10149,,,,,,,,,,,,,,,,,,,,,,,,
1M10596,S1P           /E,S1P           ,M10596,Discontinued,Limited,Leaded,Magnetic,$792.50 ,,9,9,,1,48,N,6,Bottom leads (corner),60,,,,,,,,,,,Normal,,,,,,,,,,,S1P AM,S1P,Magnetic,Ongoing,Active,P10083,Leaded,,,,,,,,,,,,,,,,,
